t_s,stage,q_rad,dq_rad_s,tau_Nm,q_ref_rad,dq_ref_rad_s,dq_filt_rad_s
0.580742,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000,-0.02886554879
0.585693,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000,-0.05034021339
0.590675,to_zero_prehold,2.906516790,-0.220893756,0.000000000,2.906708717,0.000000000,-0.1018619306
0.595735,to_zero_prehold,2.906516790,-0.319068760,-0.003906250,2.906708717,0.000000000,-0.1245338186
0.600679,to_zero_prehold,2.906900406,0.000000000,0.000000000,2.906708717,0.000000000,-0.1000561327
0.605671,to_zero_prehold,2.906516790,-0.269981235,0.000000000,2.906708717,0.000000000,-0.0998291238
0.610690,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000,-0.0583622251
0.615676,to_zero_prehold,2.906708717,0.147262499,0.000000000,2.906708717,0.000000000,-0.0488866798
0.620674,to_zero_prehold,2.906516790,-0.196349993,0.003906250,2.906708717,0.000000000,-0.08695195228
0.625716,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000,-0.09850234282
0.630677,to_zero_prehold,2.906325102,-0.613593757,0.000000000,2.906708717,0.000000000,-0.151772876
0.635681,to_zero_prehold,2.906708717,0.098174997,0.003906250,2.906708717,0.000000000,-0.09311154959
0.640678,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.08081248126
0.646698,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000,-0.02861312781
0.650673,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000,-0.001194817634
0.655673,to_zero_prehold,2.906708717,0.122718751,0.000000000,2.906708717,0.000000000,0.008087844868
0.660842,to_zero_prehold,2.906900406,0.417243749,0.000000000,2.906708717,0.000000000,-0.01041266793
0.665842,to_zero_prehold,2.906325102,-0.539962471,0.000000000,2.906708717,0.000000000,-0.1325645746
0.670844,to_zero_prehold,2.906516790,-0.269981235,0.000000000,2.906708717,0.000000000,-0.1559751596
0.675784,to_zero_prehold,2.906516790,-0.196349993,0.000000000,2.906708717,0.000000000,-0.15175401
0.680702,to_zero_prehold,2.906708717,0.049087498,0.000000000,2.906708717,0.000000000,-0.1367240999
0.685693,to_zero_prehold,2.906516790,-0.220893756,0.000000000,2.906708717,0.000000000,-0.1667294806
0.690684,to_zero_prehold,2.906516790,-0.196349993,0.003906250,2.906708717,0.000000000,-0.1836070268
0.695757,to_zero_prehold,2.906325102,-0.613593757,0.000000000,2.906708717,0.000000000,-0.1973960511
