t_s,stage,q_rad,dq_rad_s,tau_Nm,q_ref_rad,dq_ref_rad_s
1.216637,to_zero,2.880247355,-0.122718751,-0.066406250,2.844270837,0.000000000
1.220613,to_zero,2.878138065,-0.785399973,-0.066406250,2.841355195,0.000000000
1.225634,to_zero,2.876412392,-0.785399973,-0.066406250,2.838374587,0.000000000
1.230607,to_zero,2.874111414,-0.785399973,-0.066406250,2.835329150,0.000000000
1.235607,to_zero,2.871235371,-0.589049995,-0.066406250,2.832219029,0.000000000
1.240608,to_zero,2.866825104,-1.079924941,-0.054687500,2.829044369,0.000000000
1.245610,to_zero,2.862031460,-0.932662487,-0.050781250,2.825805318,0.000000000
1.250608,to_zero,2.856854200,-1.448081255,-0.050781250,2.822502028,0.000000000
1.255613,to_zero,2.853019238,-0.859031260,-0.050781250,2.819134654,0.000000000
1.260608,to_zero,2.849759579,-0.515418768,-0.050781250,2.815703352,0.000000000
1.265616,to_zero,2.846116304,-0.957206249,-0.054687500,2.812208285,0.000000000
1.270733,to_zero,2.841706038,-0.883575022,-0.042968750,2.808649614,0.000000000
1.275690,to_zero,2.836912394,-0.736312509,-0.042968750,2.805027508,0.000000000
1.280690,to_zero,2.831926823,-1.104468703,-0.042968750,2.801342135,0.000000000
1.285697,to_zero,2.828667164,-0.589049995,-0.042968750,2.797593668,0.000000000
1.290730,to_zero,2.825599194,-0.908118725,-0.050781250,2.793782282,0.000000000
1.295682,to_zero,2.822722912,-1.079924941,-0.050781250,2.789908157,0.000000000
1.301746,to_zero,2.819271564,-0.957206249,-0.050781250,2.785971472,0.000000000
1.305689,to_zero,2.814669609,-1.153556228,-0.042968750,2.781972413,0.000000000
1.310620,to_zero,2.809492350,-0.981750011,-0.042968750,2.777911166,0.000000000
1.315610,to_zero,2.804698706,-0.932662487,-0.039062500,2.773787922,0.000000000
1.320606,to_zero,2.801055431,-0.908118725,-0.050781250,2.769602874,0.000000000
1.325621,to_zero,2.797412157,-0.981750011,-0.039062500,2.765356217,0.000000000
1.330623,to_zero,2.792618513,-1.570799947,-0.042968750,2.761048151,0.000000000
1.335609,to_zero,2.786482573,-1.497168779,-0.027343750,2.756678876,0.000000000
1.340623,to_zero,2.780730247,-0.932662487,-0.035156250,2.752248598,0.000000000
1.345607,to_zero,2.775552988,-1.153556228,-0.039062500,2.747757524,0.000000000
1.350688,to_zero,2.770759344,-1.349906206,-0.027343750,2.743205864,0.000000000
1.355616,to_zero,2.765198469,-1.300818801,-0.019531250,2.738593830,0.000000000
1.360695,to_zero,2.758870840,-1.202643752,-0.027343750,2.733921640,0.000000000
1.365663,to_zero,2.754844189,-0.441787511,-0.035156250,2.729189512,0.000000000
1.370611,to_zero,2.752734900,-0.269981235,-0.035156250,2.724397666,0.000000000
1.375610,to_zero,2.751009226,-0.343612492,-0.050781250,2.719546328,0.000000000
1.381624,to_zero,2.748516560,-0.638137519,-0.050781250,2.714635725,0.000000000
1.385615,to_zero,2.745831966,-0.662681222,-0.050781250,2.709666086,0.000000000
1.390616,to_zero,2.741230011,-0.883575022,-0.039062500,2.704637644,0.000000000
1.395732,to_zero,2.735669374,-1.448081255,-0.042968750,2.699550634,0.000000000
1.400610,to_zero,2.731259108,-0.613593757,-0.050781250,2.694405294,0.000000000
1.405612,to_zero,2.727232456,-1.104468703,-0.058593750,2.689201866,0.000000000
1.410606,to_zero,2.723589182,-0.981750011,-0.066406250,2.683940593,0.000000000
1.415668,to_zero,2.718412161,-1.374449968,-0.054687500,2.678621720,0.000000000
1.420609,to_zero,2.711700916,-1.595343709,-0.042968750,2.673245498,0.000000000
1.425665,to_zero,2.704989672,-1.423537493,-0.050781250,2.667812177,0.000000000
1.430586,to_zero,2.699620724,-1.129012465,-0.050781250,2.662322013,0.000000000
1.435605,to_zero,2.693484783,-1.570799947,-0.042968750,2.656775261,0.000000000
1.440585,to_zero,2.686198473,-1.742606282,-0.035156250,2.651172182,0.000000000
1.445597,to_zero,2.679295540,-1.668974996,-0.039062500,2.645513037,0.000000000
1.450586,to_zero,2.674118280,-1.129012465,-0.042968750,2.639798093,0.000000000
1.455606,to_zero,2.668749332,-1.006293774,-0.042968750,2.634027615,0.000000000
1.460588,to_zero,2.661846399,-1.570799947,-0.023437500,2.628201875,0.000000000
1.465587,to_zero,2.654751778,-1.570799947,-0.035156250,2.622321145,0.000000000
1.470595,to_zero,2.648615837,-1.448081255,-0.035156250,2.616385700,0.000000000
1.475638,to_zero,2.641712904,-1.889868736,-0.027343750,2.610395818,0.000000000
1.480587,to_zero,2.634809971,-1.767150044,-0.023437500,2.604351779,0.000000000
1.485588,to_zero,2.629057407,-1.276275039,-0.039062500,2.598253867,0.000000000
1.490725,to_zero,2.625030756,-0.490875006,-0.039062500,2.592102366,0.000000000
1.495609,to_zero,2.620045424,-0.662681222,-0.039062500,2.585897565,0.000000000
1.500588,to_zero,2.613334179,-1.178099990,-0.035156250,2.579639755,0.000000000
1.505658,to_zero,2.606814623,-0.981750011,-0.035156250,2.573329227,0.000000000
1.510631,to_zero,2.601062298,-1.276275039,-0.042968750,2.566966277,0.000000000
1.515716,to_zero,2.595309734,-1.202643752,-0.042968750,2.560551204,0.000000000
1.520692,to_zero,2.588790417,-1.300818801,-0.039062500,2.554084307,0.000000000
1.525614,to_zero,2.582270861,-1.079924941,-0.039062500,2.547565889,0.000000000
1.530593,to_zero,2.577285528,-1.030837536,-0.050781250,2.540996256,0.000000000
1.535624,to_zero,2.573066950,-0.589049995,-0.050781250,2.534375714,0.000000000
1.540595,to_zero,2.568081617,-0.932662487,-0.050781250,2.527704574,0.000000000
1.545587,to_zero,2.561562061,-1.521712542,-0.050781250,2.520983147,0.000000000
1.550590,to_zero,2.556001425,-1.178099990,-0.054687500,2.514211749,0.000000000
1.555593,to_zero,2.550824165,-1.178099990,-0.058593750,2.507390697,0.000000000
1.560593,to_zero,2.544688225,-1.349906206,-0.054687500,2.500520309,0.000000000
1.565593,to_zero,2.537018299,-1.619887471,-0.050781250,2.493600908,0.000000000
1.570591,to_zero,2.529156685,-1.791693807,-0.042968750,2.486632816,0.000000000
